hardware_or_model,architecture,scope,precision_or_workload,published_basis,energy_min_J,energy_max_J,energy_min_nJ,energy_max_nJ,ratio_min_to_66_3_pJ,ratio_max_to_66_3_pJ,evidence,source
Sutro record,abstract one-ALU distance model,source-read movement only,exact Python integers,66300 scored units at 1 fJ/unit,6.63e-11,6.63e-11,0.0663,0.0663,1,1,chosen model,https://github.com/cybertronai/sutro-problems/blob/main/matmul/submissions/best_66300.md
Intel 22FFL analog SRAM CIM,charge-domain analog compute-in-memory,local resident-weight macro,8-bit activation x 8-bit weight approximate MVM with computation error under 0.5%,32.2 TOPS/W measured peak,2.5441e-10,2.5441e-10,0.25441,0.25441,3.837,3.837,measured macro,https://doi.org/10.1109/JSSC.2022.3232601
Apple M1 ANE,fixed-function matrix engine,accelerator engine saturated work,FP16 matrix workload,0.37 to 0.5 pJ/FLOP,3.03104e-9,4.096e-9,3.03104,4.096,45.717,61.780,measured engine,https://arxiv.org/abs/2606.22283
Google TPUv1,256x256 systolic array,workload throughput divided by incremental busy power,INT8 CNN0,86 TOPS at 40 W,3.810233e-9,3.810233e-9,3.810233,3.810233,57.470,57.470,workload divided by busy power,https://arxiv.org/abs/1704.04760
Tesla FSD computer,broadcast non-systolic 96x96 grids,two-chip computer using raw aggregate executed operations,INT8 with 30-bit accumulators,144 TOPS at 72 W,4.096e-9,4.096e-9,4.096,4.096,61.780,61.780,peak divided by system power,https://doi.org/10.1109/MM.2020.2975764
NM-Carus,near-memory SIMD,post-layout core model,8-bit MAC,6.8 pJ/MAC,2.78528e-8,2.78528e-8,27.8528,27.8528,420.103,420.103,post-layout model,https://arxiv.org/abs/2406.14263
AMD MI300X FP32 vector,conventional vector GPU path,board peak divided by maximum TBP,FP32,163.4 TFLOP/s at 750 W,3.760098e-8,3.760098e-8,37.60098,37.60098,567.134,567.134,peak divided by TBP,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/data-sheets/amd-instinct-mi300x-data-sheet.pdf
Eyeriss,row-stationary non-systolic spatial array,chip convolution workload,16-bit fixed point,83.1 GMAC/s/W,4.929001e-8,4.929001e-8,49.29001,49.29001,743.439,743.439,measured chip,https://doi.org/10.1109/JSSC.2016.2616357
Graphcore C2 IPU,distributed MIMD tiles with specialized AMP units,per-IPU actual peak divided by per-IPU nominal power,FP32 GEMM,18.9 TFLOP/s per IPU at 150 W nominal per IPU,6.501587e-8,6.501587e-8,65.01587,65.01587,980.632,980.632,throughput divided by nominal power,https://arxiv.org/abs/1912.03413
NVIDIA H100 CUDA cores,conventional SIMT GPU path,peak divided by TDP,FP32,60 TFLOP/s at 700 W,9.557333e-8,9.557333e-8,95.57333,95.57333,1441.528,1441.528,peak divided by TDP,https://dam-cdn.nvd.orangelogic.com/AssetLink/mfj81tsm68n0ne632upmuvirso3ta3g3.pdf
NVIDIA A100 CUDA cores,conventional SIMT GPU path,device telemetry on tested GEMMs,FP32 SGEMM,67.0 GFLOP/s/W maximum,1.222687e-7,1.222687e-7,122.2687,122.2687,1844.173,1844.173,measured device,https://doi.org/10.1177/10943420221090256
Dual Xeon E5-2650v4,AVX2 CPU SIMD,CPU package counters,FP32 n=5000 SGEMM,5.92 GFLOP/J,1.383784e-6,1.383784e-6,1383.784,1383.784,20871.55,20871.55,measured package,https://domke.gitlab.io/paper/domke-matrix-2021.pdf
