hardware_or_model,scope,precision,basis,throughput_TOPS,power_W,time_s,energy_J,evidence,source,notes
Sutro retuned sa_cache,abstract source-read distance,unbounded scorer values,"exact score 118953083721334 at 1 fJ/unit",,,,0.118953083721334,modeled,https://github.com/cybertronai/sutro-problems/blob/main/matmul/submissions/closed_form.py,"256x128 tiles; movement only"
NVIDIA B200 Blackwell,single GPU,INT8 inputs with accumulator/epilogue unspecified,"4.5 dense POPS and 1000 W maximum TDP",4500,1000,0.000244335917284,0.244335917284,peak divided by TDP,https://dam-cdn.nvd.orangelogic.com/AssetLink/y441155802qub41q118b2852i557jem5.pdf,"dense is half the published 9 sparse POPS"
AMD MI300X,single GPU,INT8,"2614.9 dense TOPS and 750 W maximum TBP",2614.9,750,0.000420479417100,0.315359562825,peak divided by TBP,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/data-sheets/amd-instinct-mi300x-data-sheet.pdf,"not a measured GEMM"
NVIDIA H100 SXM,single GPU,INT8,"1979 dense TOPS and 700 W maximum TDP",1979,700,0.000555589503677,0.388912652574,peak divided by TDP,https://www.nvidia.com/en-us/data-center/h100/,"not a measured GEMM"
Google TPUv1,single accelerator,INT8,"92 TOPS peak and 40 W typical incremental busy power",92,40,0.0119512133454,0.478048533816,peak divided by busy power,https://arxiv.org/abs/1704.04760,"mixed peak and typical measured power"
Tesla FSD,single chip,INT8 to 30-bit local accumulator and requantized INT8,"72 TOPS and less-than-40 W TDP with 96x96 edge padding",72,40,0.0155104765888,0.620419063550,peak divided by TDP,https://doi.org/10.1109/MM.2020.2975764,"peak/TDP-ratio proxy; actual energy can be higher; output contract differs"
NVIDIA T4 pre-transformed layout,single card,INT8,"exact 8192-cubed cuBLASLt graph-read about 95 TOPS and measured 70 W",95,70,0.0115738066082,0.810166462572,exact-size measured-power proxy,https://users.ece.cmu.edu/~jhoe/distribution/2020/fpt2020.pdf,"throughput digitized from graph; inputs already transformed"
Sutro endpoint sensitivity,abstract movement plus per-read term,unbounded scorer values,"2.5 fJ times S plus 160R",,,,1.179568991902,modeled,https://cybertronai.github.io/sutro-problems/matmul/energy-report/eightk-audit.json,"S=118953083721334; R=2205465706496"
NVIDIA T4 standard layout,single card,INT8,"exact 8192-cubed including device-side transform; graph-read about 55 TOPS and measured 70 W",55,70,0.0199911205050,1.399378435351,exact-size measured-power proxy,https://users.ece.cmu.edu/~jhoe/distribution/2020/fpt2020.pdf,"throughput digitized from graph"
AMD VCK190 AutoMM,single device,INT8,"measured repeated 16K efficiency 28.15 TOPS at 60.96 W applied to 8K work",28.15,60.96,0.0390590276297,2.381038324306,size-scaled measured proxy,https://arxiv.org/abs/2305.18698,"same energy/op assumed at 8K"
NVIDIA A100 cuBLAS,single GPU,INT8,"measured repeated 16K efficiency 67.2 TOPS at 248.08 W applied to 8K work",67.2,248.08,0.0163617801752,4.059030425873,size-scaled measured proxy,https://arxiv.org/abs/2305.18698,"same energy/op assumed at 8K"
NVIDIA B300 Blackwell Ultra,single GPU,INT8,"153.5 dense TOPS and 1100 W maximum TDP",153.5,1100,0.00716294220050,7.87923642055,peak divided by TDP,https://dam-cdn.nvd.orangelogic.com/AssetLink/1k0p832eq8r5ca0u5383ie5o4tp3bst1.pdf,"dense is half the published 307 sparse TOPS"
NVIDIA Rubin,single GPU,INT8,"preliminary 250 dense TOPS and 1800 W/GPU application-model assumption",250,1800,0.00439804651110,7.916483719987,preliminary peak divided by assumed power,https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/,"1800 W is not a formally labeled TDP"
Sutro naive baseline,abstract source-read distance,unbounded scorer values,"exact closed-form score 23401284397481984 at 1 fJ/unit",,,,23.401284397482,modeled,https://github.com/cybertronai/sutro-problems/blob/main/matmul/submissions/closed_form.py,"movement only"
